model,r2,train_rmse,test_rmse,bad_weather_rmse
Linear Regression,0.8309008899812911,812.0112044587564,812.1924294039009,866.6172524507979
Decision Tree,0.9374785344749575,464.8493369919377,493.85886143924614,553.0460217545879
Random Forest,0.9356372355207904,499.97885234372706,501.0783294025616,551.7639402317706
Bagging,0.9369329117745895,493.5691894734022,496.0091250430742,543.8492289934487
xGBoost,0.946966869750264,375.4736179267677,454.8434102154836,517.9421639903525
