model,r2,train_rmse,test_rmse,bad_weather_rmse
Linear Regression,0.8318081978612163,810.6797417977913,810.0105736570708,864.8792620163002
Decision Tree,0.9374761577455919,464.8176811491133,493.8682482769804,552.9694768826931
Random Forest,0.9335487506135558,507.2421316117553,509.1430870697638,559.8814602547648
Bagging,0.9361236931019427,496.7414622106838,499.1811480243005,545.2942446314871
xGBoost,0.9461396054026413,380.0878759875934,458.3772360283112,520.3867667837817
