model,r2,train_rmse,test_rmse,bad_weather_rmse
Linear Regression,0.8333333666912951,819.8443251301878,806.3296085253361,854.8780033999396
Decision Tree,0.8815890397405657,26.564765500589175,679.6482885548105,705.8108929272792
Random Forest,0.927358732152173,195.2726375603451,532.3288256273459,570.4860503762562
Bagging,0.9225110146901991,223.98197755414722,549.8044658067929,591.4201531202336
xGBoost,0.9408150389075106,434.80651851142625,480.5006276713736,520.7186526603849
