t2m,tcc,lcc,mcc,hcc,valid_time,ptype,tp,sf,cp,lsp
267.78564,0.24619484,0.0,0.041642994,0.23094589,2017-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0
267.59473,0.8268329,0.0,0.68427265,0.57825756,2017-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0
268.20654,0.8337092,0.0,0.8337092,0.1029256,2017-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0
269.34448,0.58517003,0.0,0.57779586,0.15480798,2017-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0
269.58228,0.5209229,0.0,0.5209229,0.0,2017-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0
269.54736,0.16684735,0.0,0.16684735,0.0,2017-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0
269.5923,0.015842445,0.0,0.015842445,0.0,2017-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0
269.52783,0.0,0.0,0.0,0.0,2017-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0
269.2417,0.0,0.0,0.0,0.0,2017-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0
269.06885,0.0,0.0,0.0,0.0,2017-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0
268.89526,0.0,0.0,0.0,0.0,2017-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
268.7649,0.0,0.0,0.0,0.0,2017-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
268.58765,0.024974484,0.024974484,0.0,0.0,2017-01-01 12:00:00,5.0,0.0,0.0,0.0,0.0
268.31226,0.10822511,0.10822511,0.0,0.0,2017-01-01 13:00:00,5.0,0.0,0.0,0.0,0.0
268.04175,0.2389239,0.2389239,0.0,0.0,2017-01-01 14:00:00,5.0,0.0,0.0,0.0,0.0
269.11328,0.5180471,0.5180471,0.0,0.0,2017-01-01 15:00:00,5.0,0.0,0.0,0.0,0.0
269.89136,0.6851809,0.6851809,0.0,0.0,2017-01-01 16:00:00,5.0,0.0,9.533534e-08,0.0,0.0
270.68848,0.6863422,0.68581045,0.0,0.00053172023,2017-01-01 17:00:00,5.0,3.813414e-07,2.1919061e-07,0.0,3.813414e-07
270.823,0.72466284,0.6572348,0.0,0.11726767,2017-01-01 18:00:00,5.0,0.0,0.0,0.0,0.0
271.0652,0.99657166,0.86384547,0.0,0.80237657,2017-01-01 19:00:00,5.0,0.0,0.0,0.0,0.0
271.312,0.99156755,0.6798328,0.0,0.9692082,2017-01-01 20:00:00,5.0,0.0,0.0,0.0,0.0
271.28394,0.99315417,0.594665,0.0031780982,0.98242617,2017-01-01 21:00:00,5.0,0.0,0.0,0.0,0.0
271.05786,1.0,0.3556652,0.19498265,0.998375,2017-01-01 22:00:00,5.0,0.0,0.0,0.0,0.0
270.82837,1.0,0.30282938,0.89517474,1.0,2017-01-01 23:00:00,5.0,0.0,2.6196943e-08,0.0,0.0
270.761,1.0,0.21071911,0.98189443,1.0,2017-01-02 00:00:00,5.0,1.0305857e-06,9.661744e-07,0.0,1.0305857e-06
270.73682,1.0,0.14736009,0.9859142,1.0,2017-01-02 01:00:00,5.0,7.8985895e-06,8.034382e-06,0.0,7.8985895e-06
270.75464,1.0,0.06831968,1.0,0.8965559,2017-01-02 02:00:00,5.0,2.224023e-05,2.2199849e-05,0.0,2.224023e-05
270.78247,0.9752212,0.005003199,0.95754683,0.64762646,2017-01-02 03:00:00,5.0,2.5879286e-05,2.5753034e-05,0.0,2.5879286e-05
270.9016,0.9808371,0.033438884,0.85216963,0.91963506,2017-01-02 04:00:00,5.0,1.609452e-05,1.619682e-05,0.0,1.609452e-05
270.8921,1.0,0.13780254,1.0,0.95278525,2017-01-02 05:00:00,5.0,9.614314e-06,9.39977e-06,0.0,9.614314e-06
270.71045,1.0,0.03655641,1.0,0.5020195,2017-01-02 06:00:00,5.0,4.349224e-05,4.3549924e-05,0.0,4.3378153e-05
270.91504,1.0,0.030088928,1.0,0.19860727,2017-01-02 07:00:00,5.0,6.336687e-05,6.328098e-05,0.0,6.336687e-05
270.761,1.0,0.0033782488,1.0,0.059262224,2017-01-02 08:00:00,5.0,8.2223065e-05,8.1851176e-05,0.0,8.184173e-05
270.76294,1.0,0.0,1.0,0.048490025,2017-01-02 09:00:00,5.0,4.4700922e-05,4.4596134e-05,0.0,4.4700922e-05
271.47705,1.0,0.0,1.0,0.118293285,2017-01-02 10:00:00,5.0,1.6000326e-05,1.6214864e-05,0.0,1.6000326e-05
271.53687,1.0,0.0,1.0,0.33552098,2017-01-02 11:00:00,5.0,1.2550315e-05,1.2359645e-05,0.0,1.2550315e-05
271.58105,1.0,0.0,1.0,0.9113247,2017-01-02 12:00:00,5.0,1.6708524e-05,1.6756036e-05,0.0,1.69181e-05
271.62354,1.0,0.0,1.0,0.9406314,2017-01-02 13:00:00,5.0,2.2813838e-05,2.2815671e-05,0.0,2.2660664e-05
271.72778,1.0,0.002103883,1.0,0.976318,2017-01-02 14:00:00,5.0,3.9601844e-05,3.9520368e-05,0.0,3.9506354e-05
272.12476,0.998375,0.039744653,0.998375,0.9413603,2017-01-02 15:00:00,5.0,7.038665e-05,7.039876e-05,0.0,7.027258e-05
272.1399,0.99841094,0.19292927,0.9826043,0.88611066,2017-01-02 16:00:00,5.0,0.00010322881,0.00010308092,0.0,0.00010322881
272.1128,0.97782654,0.43750614,0.95524114,0.6436942,2017-01-02 17:00:00,5.0,0.0001057066,0.00010579762,0.0,0.000105688014
272.32153,0.9753157,0.6664145,0.97369075,0.28982723,2017-01-02 18:00:00,5.0,0.00010590794,0.00010584408,2.3662478e-06,0.00010337056
272.34424,0.9949968,0.8492559,0.9669778,0.7390895,2017-01-02 19:00:00,5.0,0.00023091,0.00023064755,6.68154e-07,0.00022984095
272.56738,1.0,0.9707031,0.973178,0.9129347,2017-01-02 20:00:00,5.0,0.0002747008,0.0002745723,0.0,0.0002747008
272.82397,0.9978961,0.92046034,0.9601343,0.9082899,2017-01-02 21:00:00,5.0,0.00025773817,0.00025764317,0.0,0.00025762408
272.7693,0.9936331,0.98788387,0.9694863,0.32481027,2017-01-02 22:00:00,5.0,0.0002530748,0.00025306037,1.8708306e-06,0.00025122263
272.8047,0.95316017,0.93312705,0.7983187,0.0,2017-01-02 23:00:00,5.0,0.0003207561,0.0003208276,2.4784313e-05,0.00029634382
272.78223,0.9899067,0.98652846,0.9403246,0.002103883,2017-01-03 00:00:00,5.0,0.00032891682,0.0003288691,1.9335523e-05,0.00030945754
272.80103,1.0,1.0,0.9903652,0.02161334,2017-01-03 01:00:00,5.0,0.00028302055,0.00028274115,1.6769336e-06,0.0002812671
272.88086,1.0,1.0,1.0,0.0,2017-01-03 02:00:00,5.0,0.00024316524,0.00024276908,0.0,0.00024316524
272.7644,0.99315417,0.98815095,0.9820512,0.0,2017-01-03 03:00:00,5.0,0.00021826326,0.00021819613,0.0,0.00021826326
272.8506,0.98841804,0.98343927,0.95694435,0.05351632,2017-01-03 04:00:00,5.0,0.00019015862,0.00019031597,0.0,0.0001903304
272.64136,0.9905219,0.94895464,0.9723158,0.54544824,2017-01-03 05:00:00,5.0,0.00017647384,0.00017658329,7.216063e-06,0.00016925778
272.07935,0.97942865,0.9091775,0.81909955,0.82403785,2017-01-03 06:00:00,5.0,0.00013831585,0.00013849209,0.0,0.00013831585
272.02222,1.0,0.9377167,0.5187515,0.95814824,2017-01-03 07:00:00,5.0,3.6555502e-05,3.665549e-05,0.0,3.6555502e-05
271.9651,1.0,0.99627113,0.2884059,0.9452986,2017-01-03 08:00:00,5.0,4.7061927e-05,4.7202688e-05,0.0,4.7061927e-05
272.02246,1.0,0.9966217,0.1338346,0.9911121,2017-01-03 09:00:00,5.0,2.2363834e-05,2.2440188e-05,0.0,2.2363834e-05
271.05493,1.0,1.0,0.11202723,0.9767617,2017-01-03 10:00:00,5.0,3.3551514e-06,3.4650684e-06,0.0,3.4506475e-06
271.01343,1.0,0.9866318,0.028373793,0.9410737,2017-01-03 11:00:00,5.0,1.3350154e-06,1.1464244e-06,0.0,1.1632492e-06
270.5569,1.0,0.97731173,0.009634774,0.9485485,2017-01-03 12:00:00,5.0,9.536743e-07,1.0893846e-06,0.0,1.1632492e-06
269.63428,1.0,0.99416727,0.0,0.9582192,2017-01-03 13:00:00,5.0,7.8190845e-07,6.1743583e-07,0.0,6.864127e-07
267.85327,1.0,0.9895088,0.16293663,0.995108,2017-01-03 14:00:00,5.0,6.864127e-07,5.984496e-07,0.0,4.7683716e-07
264.7605,1.0,0.998375,0.10095644,0.8994639,2017-01-03 15:00:00,5.0,4.7683716e-07,4.9590466e-07,0.0,4.7683716e-07
263.7395,0.9725252,0.947697,0.4873718,0.28380108,2017-01-03 16:00:00,5.0,8.5817857e-07,6.1511395e-07,0.0,8.5817857e-07
262.98853,0.9846364,0.9204517,0.86927325,0.058386914,2017-01-03 17:00:00,5.0,4.7683716e-07,4.529632e-07,0.0,4.7683716e-07
262.49976,0.9989426,0.9887518,0.9267455,0.0,2017-01-03 18:00:00,5.0,0.0,1.1920929e-07,0.0,0.0
262.21826,0.9954723,0.93826145,0.9306356,0.5155913,2017-01-03 19:00:00,5.0,0.0,9.533534e-08,0.0,0.0
261.85547,0.9411148,0.8833038,0.14014393,0.20170659,2017-01-03 20:00:00,5.0,0.0,0.0,0.0,0.0
261.66553,0.7090024,0.7090024,0.0,0.0,2017-01-03 21:00:00,5.0,0.0,0.0,0.0,0.0
260.48657,0.40312892,0.392056,0.007388301,0.013193667,2017-01-03 22:00:00,5.0,0.0,6.6815346e-08,0.0,0.0
260.05444,0.97544724,0.97544724,0.0,0.0,2017-01-03 23:00:00,5.0,2.6726156e-07,3.504984e-07,0.0,3.813414e-07
259.38135,0.98877615,0.98877615,0.0,0.0,2017-01-04 00:00:00,5.0,1.7163566e-06,1.6616395e-06,0.0,1.5067808e-06
259.04565,0.9748125,0.9748125,0.0,0.0,2017-01-04 01:00:00,5.0,2.6700309e-06,2.8365048e-06,0.0,2.6700309e-06
258.5537,0.95263684,0.95263684,0.0,0.0,2017-01-04 02:00:00,5.0,2.6700309e-06,2.7126498e-06,0.0,2.6700309e-06
257.6482,0.9459741,0.9459741,0.0,0.0,2017-01-04 03:00:00,5.0,3.1654527e-06,3.0749234e-06,0.0,3.2609478e-06
257.43872,0.9789945,0.9789945,0.0,0.0,2017-01-04 04:00:00,5.0,2.8796067e-06,3.0226902e-06,0.0,2.9751027e-06
257.19775,0.9373871,0.9373871,0.0,0.0,2017-01-04 05:00:00,5.0,3.1846776e-06,3.1467052e-06,0.0,3.1846776e-06
256.50513,0.9819337,0.9819337,0.0,0.0,2017-01-04 06:00:00,5.0,3.0705978e-06,3.0323026e-06,0.0,3.0705978e-06
256.219,0.94071734,0.94071734,0.0,0.0,2017-01-04 07:00:00,5.0,2.4982655e-06,2.69855e-06,0.0,2.4982655e-06
255.65381,0.9733737,0.9733737,0.0,0.0,2017-01-04 08:00:00,5.0,2.3841849e-06,2.5105255e-06,0.0,2.3841849e-06
254.7504,0.94327855,0.94327855,0.0,0.0,2017-01-04 09:00:00,5.0,2.7469423e-06,2.7562346e-06,0.0,2.7469423e-06
253.58315,0.7444242,0.7444242,0.0,0.0,2017-01-04 10:00:00,5.0,2.861023e-06,2.9231915e-06,0.0,2.861023e-06
253.61363,0.8678678,0.8678678,0.0,0.0,2017-01-04 11:00:00,5.0,3.0705978e-06,2.9372904e-06,0.0,3.0705978e-06
253.45848,0.98562324,0.98562324,0.0,0.0,2017-01-04 12:00:00,5.0,2.8033364e-06,2.698549e-06,0.0,2.8033364e-06
253.16516,0.9668281,0.9668281,0.0,0.0,2017-01-04 13:00:00,5.0,1.6400863e-06,1.6639606e-06,0.0,1.6400863e-06
252.97458,0.9913481,0.9913481,0.0,0.0,2017-01-04 14:00:00,5.0,1.5445912e-06,1.4540619e-06,0.0,1.4305115e-06
253.36613,0.97018194,0.97018194,0.0,0.0,2017-01-04 15:00:00,5.0,1.372825e-06,1.3777944e-06,0.0,1.372825e-06
253.77696,1.0,1.0,0.0,0.0,2017-01-04 16:00:00,5.0,1.372825e-06,1.2156434e-06,0.0,1.372825e-06
254.70598,1.0,1.0,0.0,0.0,2017-01-04 17:00:00,5.0,4.191511e-07,5.8162493e-07,0.0,4.191511e-07
255.22998,0.9705456,0.9705456,0.0,0.0,2017-01-04 18:00:00,5.0,0.0,2.2399706e-07,0.0,0.0
255.8736,0.8294462,0.8294462,0.0,0.0,2017-01-04 19:00:00,5.0,0.0,1.1199853e-07,0.0,0.0
256.239,0.6171563,0.6171563,0.0,0.0,2017-01-04 20:00:00,5.0,0.0,1.4772922e-07,0.0,0.0
256.79834,0.72726846,0.72726846,0.0,0.0,2017-01-04 21:00:00,0.0,0.0,2.8519953e-08,0.0,0.0
256.20972,0.38020688,0.38020688,0.0,0.0,2017-01-04 22:00:00,0.0,0.0,0.0,0.0,0.0
255.99123,0.06772107,0.06772107,0.0,0.0,2017-01-04 23:00:00,0.0,0.0,0.0,0.0,0.0
255.6616,0.034429353,0.034429353,0.0,0.0,2017-01-05 00:00:00,0.0,0.0,2.8519953e-08,0.0,0.0
255.31604,0.0,0.0,0.0,0.0,2017-01-05 01:00:00,0.0,0.0,2.8519953e-08,0.0,0.0
254.98888,0.008993927,0.008993927,0.0,0.0,2017-01-05 02:00:00,5.0,0.0,0.0,0.0,0.0
254.60893,0.102512,0.10039121,0.0,0.0026463778,2017-01-05 03:00:00,5.0,0.0,6.6815346e-08,0.0,0.0
254.69133,0.49603683,0.49603683,0.0,0.0,2017-01-05 04:00:00,5.0,2.0957555e-07,3.6708025e-07,0.0,2.0957555e-07
254.42216,0.6564838,0.6564838,0.052016266,0.0,2017-01-05 05:00:00,5.0,4.7683716e-07,4.91096e-07,0.0,3.050713e-07
254.17268,0.8329516,0.8329516,0.121138155,0.0,2017-01-05 06:00:00,5.0,1.9099144e-07,4.62576e-07,0.0,4.7683716e-07
254.36604,0.9217089,0.9217089,0.19185227,0.0,2017-01-05 07:00:00,5.0,1.4919125e-05,1.5167078e-05,0.0,1.509089e-05
253.9415,0.93466794,0.93466794,0.19636875,0.0,2017-01-05 08:00:00,5.0,1.2324713e-05,1.2662952e-05,0.0,1.2706054e-05
253.15721,0.941624,0.941624,0.17956787,0.0,2017-01-05 09:00:00,5.0,9.538026e-06,9.938918e-06,0.0,1.0072549e-05
252.94579,0.9533706,0.9533706,0.0,0.0,2017-01-05 10:00:00,5.0,9.060547e-06,8.86507e-06,0.0,9.060547e-06
252.80876,0.8831888,0.8831888,0.0,0.0,2017-01-05 11:00:00,5.0,6.6763614e-06,6.4856904e-06,0.0,6.6763614e-06
252.5975,0.8599853,0.8599853,0.0,0.0,2017-01-05 12:00:00,5.0,5.341346e-06,5.436681e-06,0.0,5.550921e-06
252.388,0.8571972,0.8571972,0.0,0.0,2017-01-05 13:00:00,5.0,3.96852e-06,3.6390893e-06,0.0,3.7012587e-06
251.97516,0.8680816,0.8680816,0.0,0.0,2017-01-05 14:00:00,5.0,2.2521626e-06,2.3897956e-06,0.0,2.8238546e-06
252.63449,0.9167852,0.9167852,0.0,0.0,2017-01-05 15:00:00,5.0,2.1739588e-06,1.7692291e-06,0.0,1.7548082e-06
253.33948,0.94679755,0.94679755,0.0,0.0,2017-01-05 16:00:00,5.0,1.1446655e-06,8.0113637e-07,0.0,1.1446655e-06
254.28444,0.6847217,0.6847217,0.0,0.0,2017-01-05 17:00:00,5.0,3.050713e-07,3.385603e-07,0.0,3.050713e-07
254.86734,0.55124027,0.55124027,0.0,0.0,2017-01-05 18:00:00,5.0,1.9099144e-07,3.8630816e-07,0.0,1.9099144e-07
255.39452,0.73609054,0.73609054,0.0,0.0,2017-01-05 19:00:00,5.0,1.7939101e-06,1.6505037e-06,0.0,1.7939101e-06
255.79037,0.8987786,0.8987786,0.0,0.0,2017-01-05 20:00:00,5.0,3.7967538e-06,3.89209e-06,0.0,3.7967538e-06
256.239,0.9340528,0.9340528,0.0,0.0,2017-01-05 21:00:00,5.0,5.13177e-06,5.2222977e-06,0.0,5.13177e-06
255.29893,0.87959325,0.87959325,0.0,0.0,2017-01-05 22:00:00,5.0,3.929418e-06,4.0486275e-06,0.0,3.929418e-06
255.0849,0.9536891,0.9536891,0.0,0.0,2017-01-05 23:00:00,5.0,1.5260066e-06,1.4210573e-06,0.0,1.5260066e-06
254.88068,0.8191498,0.8191498,0.0,0.0,2017-01-06 00:00:00,5.0,6.4860296e-07,9.2499397e-07,0.0,1.1254397e-06
254.48657,0.5065607,0.5065607,0.0,0.0,2017-01-06 01:00:00,5.0,1.1632492e-06,1.1275188e-06,0.0,1.1632492e-06
253.85326,0.45954806,0.45954806,0.0,0.0,2017-01-06 02:00:00,5.0,9.914838e-07,1.0037438e-06,0.0,8.774042e-07
252.64667,0.44116014,0.44116014,0.0,0.0,2017-01-06 03:00:00,5.0,7.8190845e-07,8.6306403e-07,0.0,7.8190845e-07
252.5562,0.56544715,0.56544715,0.0,0.0,2017-01-06 04:00:00,5.0,6.678286e-07,5.984485e-07,0.0,6.678286e-07
251.8883,0.54507774,0.54507774,0.0,0.0,2017-01-06 05:00:00,5.0,1.9099144e-07,4.0297135e-07,0.0,1.9099144e-07
251.40714,0.3150984,0.3150984,0.0,0.0,2017-01-06 06:00:00,5.0,9.549569e-08,1.4788958e-07,0.0,9.549569e-08
251.17474,0.1471163,0.1471163,0.0,0.0,2017-01-06 07:00:00,0.0,9.549569e-08,1.4788958e-07,0.0,9.549569e-08
251.02158,0.25575483,0.25575483,0.0,0.0,2017-01-06 08:00:00,0.0,0.0,1.0014173e-07,0.0,0.0
250.18904,0.31048715,0.31048715,0.0,0.0,2017-01-06 09:00:00,5.0,0.0,2.3873934e-08,0.0,0.0
250.65343,0.09853703,0.09853703,0.0,0.0,2017-01-06 10:00:00,5.0,0.0,0.0,0.0,0.0
250.74352,0.23464566,0.23464566,0.0,0.0,2017-01-06 11:00:00,5.0,0.0,0.0,0.0,0.0
250.82092,0.26715893,0.26715893,0.0,0.0,2017-01-06 12:00:00,5.0,0.0,0.0,0.0,0.0
250.78114,0.003909968,0.003909968,0.0,0.0,2017-01-06 13:00:00,0.0,0.0,0.0,0.0,0.0
250.79515,0.0044355765,0.0044355765,0.0,0.0,2017-01-06 14:00:00,0.0,0.0,0.0,0.0,0.0
252.37215,0.012004841,0.012004841,0.0,0.0,2017-01-06 15:00:00,5.0,0.0,0.0,0.0,0.0
253.34189,0.04588678,0.04588678,0.0,0.0,2017-01-06 16:00:00,0.0,0.0,0.0,0.0,0.0
254.65926,0.08850986,0.08850986,0.0,0.0,2017-01-06 17:00:00,0.0,0.0,0.0,0.0,0.0
255.70216,0.25811332,0.25811332,0.0,0.0,2017-01-06 18:00:00,0.0,0.0,0.0,0.0,0.0
256.6294,0.36982083,0.36982083,0.0,0.0,2017-01-06 19:00:00,5.0,0.0,2.3873934e-08,0.0,0.0
257.56177,0.45417923,0.45417923,0.0,0.0,2017-01-06 20:00:00,5.0,0.0,0.0,0.0,0.0
258.52954,0.35653323,0.35653323,0.0,0.0,2017-01-06 21:00:00,5.0,0.0,0.0,0.0,0.0
257.93774,0.638748,0.638748,0.0,0.0,2017-01-06 22:00:00,5.0,0.0,0.0,0.0,0.0
257.7766,0.6655536,0.6655536,0.0,0.0,2017-01-06 23:00:00,5.0,0.0,0.0,0.0,0.0
257.6936,0.5707326,0.5707326,0.0,0.0,2017-01-07 00:00:00,0.0,0.0,2.8519953e-08,0.0,0.0
257.25098,0.37832046,0.37832046,0.0,0.0,2017-01-07 01:00:00,0.0,0.0,0.0,0.0,0.0
257.1145,0.121640146,0.115283966,0.0068879165,0.0,2017-01-07 02:00:00,0.0,0.0,0.0,0.0,0.0
256.61328,0.0023709626,0.0023709626,0.0,0.0,2017-01-07 03:00:00,0.0,0.0,0.0,0.0,0.0
256.50513,0.0,0.0,0.0,0.0,2017-01-07 04:00:00,0.0,0.0,0.0,0.0,0.0
256.20093,0.0,0.0,0.0,0.0,2017-01-07 05:00:00,0.0,0.0,0.0,0.0,0.0
255.50327,0.0,0.0,0.0,0.0,2017-01-07 06:00:00,0.0,0.0,0.0,0.0,0.0
255.07893,0.0,0.0,0.0,0.0,2017-01-07 07:00:00,0.0,0.0,0.0,0.0,0.0
254.90039,0.0,0.0,0.0,0.0,2017-01-07 08:00:00,0.0,0.0,0.0,0.0,0.0
254.08618,0.0,0.0,0.0,0.0,2017-01-07 09:00:00,0.0,0.0,0.0,0.0,0.0
255.05156,0.0,0.0,0.0,0.0,2017-01-07 10:00:00,0.0,0.0,0.0,0.0,0.0
254.93687,0.0,0.0,0.0,0.0,2017-01-07 11:00:00,0.0,0.0,0.0,0.0,0.0
254.84686,0.0,0.0,0.0,0.0,2017-01-07 12:00:00,0.0,0.0,0.0,0.0,0.0
254.69257,0.0,0.0,0.0,0.0,2017-01-07 13:00:00,0.0,0.0,0.0,0.0,0.0
254.33157,0.0,0.0,0.0,0.0,2017-01-07 14:00:00,0.0,0.0,0.0,0.0,0.0
255.63104,0.0,0.0,0.0,0.0,2017-01-07 15:00:00,0.0,0.0,0.0,0.0,0.0
256.41162,0.0,0.0,0.0,0.0,2017-01-07 16:00:00,0.0,0.0,0.0,0.0,0.0
257.65942,0.020210877,0.020210877,0.0,0.0,2017-01-07 17:00:00,5.0,0.0,0.0,0.0,0.0
258.5625,0.08974725,0.08974725,0.0,0.0,2017-01-07 18:00:00,5.0,0.0,0.0,0.0,0.0
259.28882,0.45886248,0.45886248,0.0,0.0,2017-01-07 19:00:00,5.0,0.0,0.0,0.0,0.0
259.59375,0.111014664,0.111014664,0.0,0.0,2017-01-07 20:00:00,0.0,0.0,0.0,0.0,0.0
259.93872,0.011408862,0.011408862,0.0,0.0,2017-01-07 21:00:00,0.0,0.0,0.0,0.0,0.0
259.12915,0.0,0.0,0.0,0.0,2017-01-07 22:00:00,0.0,0.0,0.0,0.0,0.0
258.60327,0.0,0.0,0.0,0.0,2017-01-07 23:00:00,0.0,0.0,0.0,0.0,0.0
258.04395,0.0,0.0,0.0,0.0,2017-01-08 00:00:00,0.0,0.0,0.0,0.0,0.0
257.61694,0.0,0.0,0.0,0.0,2017-01-08 01:00:00,0.0,0.0,0.0,0.0,0.0
257.28638,0.0,0.0,0.0,0.0,2017-01-08 02:00:00,0.0,0.0,0.0,0.0,0.0
256.45288,0.0,0.0,0.0,0.0,2017-01-08 03:00:00,0.0,0.0,0.0,0.0,0.0
256.21948,0.0,0.0,0.0,0.0,2017-01-08 04:00:00,0.0,0.0,0.0,0.0,0.0
256.0017,0.0,0.0,0.0,0.0,2017-01-08 05:00:00,0.0,0.0,0.0,0.0,0.0
255.14186,0.0,0.0,0.0,0.0,2017-01-08 06:00:00,0.0,0.0,0.0,0.0,0.0
255.29158,0.0,0.0,0.0,0.0,2017-01-08 07:00:00,0.0,0.0,0.0,0.0,0.0
254.68095,0.0,0.0,0.0,0.0,2017-01-08 08:00:00,0.0,0.0,0.0,0.0,0.0
252.68623,0.0,0.0,0.0,0.0,2017-01-08 09:00:00,0.0,0.0,0.0,0.0,0.0
253.84937,0.0,0.0,0.0,0.0,2017-01-08 10:00:00,0.0,0.0,0.0,0.0,0.0
253.66447,0.0010573287,0.0010573287,0.0,0.0,2017-01-08 11:00:00,0.0,0.0,0.0,0.0,0.0
253.77078,0.0015890491,0.0015890491,0.0,0.0,2017-01-08 12:00:00,0.0,0.0,0.0,0.0,0.0
253.80034,0.45106828,0.0021207693,0.21077514,0.42891985,2017-01-08 13:00:00,0.0,0.0,0.0,0.0,0.0
253.76656,0.6915082,0.0,0.16389614,0.6832551,2017-01-08 14:00:00,0.0,0.0,0.0,0.0,0.0
256.02686,0.94786,0.0,0.19195187,0.94786,2017-01-08 15:00:00,0.0,0.0,0.0,0.0,0.0
256.81152,0.97917145,0.0,0.0067320913,0.97917145,2017-01-08 16:00:00,0.0,0.0,0.0,0.0,0.0
258.62354,1.0,0.0,0.02056146,1.0,2017-01-08 17:00:00,0.0,0.0,0.0,0.0,0.0
260.0127,1.0,0.0,0.0803839,1.0,2017-01-08 18:00:00,0.0,0.0,0.0,0.0,0.0
260.85693,0.997629,0.0,0.3857634,0.997629,2017-01-08 19:00:00,0.0,0.0,0.0,0.0,0.0
261.72827,0.99946827,0.0,0.75298816,0.99946827,2017-01-08 20:00:00,5.0,0.0,0.0,0.0,0.0
262.50684,0.99336845,0.0,0.9686734,0.99336845,2017-01-08 21:00:00,5.0,2.0227199e-06,2.170853e-06,0.0,2.3854773e-06
262.4839,0.99946827,0.0,0.98288584,0.9906691,2017-01-08 22:00:00,5.0,1.7721177e-05,1.7816681e-05,0.0,1.7721177e-05
262.77417,1.0,0.0,0.9978433,0.96648437,2017-01-08 23:00:00,5.0,1.4533283e-05,1.4442755e-05,0.0,1.4533283e-05
263.2495,0.9949934,0.09885508,0.99209684,0.92620516,2017-01-09 00:00:00,5.0,1.19985e-05,1.1636226e-05,0.0,1.19985e-05
263.3015,0.9427417,0.6775011,0.91692907,0.022693004,2017-01-09 01:00:00,5.0,1.3409135e-05,1.3571286e-05,0.0,1.36763965e-05
263.56372,0.9496755,0.8857288,0.92418414,0.0,2017-01-09 02:00:00,5.0,6.5566375e-05,6.570481e-05,0.0,6.5566375e-05
264.41895,0.9663577,0.95381904,0.95062983,0.0,2017-01-09 03:00:00,5.0,7.476975e-05,7.496042e-05,0.0,7.476975e-05
264.6626,0.796315,0.75238836,0.5798879,0.0,2017-01-09 04:00:00,5.0,4.9312177e-05,4.9455266e-05,0.0,4.9312177e-05
264.67944,0.32301354,0.3191036,0.035654563,0.0,2017-01-09 05:00:00,5.0,1.1212696e-05,1.0945758e-05,0.0,1.1212696e-05
263.6931,0.58549845,0.5796486,0.0,0.02292179,2017-01-09 06:00:00,5.0,1.067754e-06,1.0723998e-06,0.0,1.067754e-06
263.39502,0.91379404,0.6787345,0.0,0.6085667,2017-01-09 07:00:00,5.0,5.1291945e-06,4.9385244e-06,0.0,5.1291945e-06
263.49365,0.8595201,0.09296346,0.0,0.8380397,2017-01-09 08:00:00,5.0,1.6009844e-06,1.5250398e-06,0.0,1.6009844e-06
263.35425,0.03630693,0.03418616,0.0,0.0021207693,2017-01-09 09:00:00,0.0,0.0,7.626778e-08,0.0,0.0
264.4673,1.0,0.42355043,0.0,1.0,2017-01-09 10:00:00,0.0,0.0,0.0,0.0,0.0
264.64404,1.0,0.0,0.0,1.0,2017-01-09 11:00:00,0.0,0.0,0.0,0.0,0.0
264.19214,1.0,0.0,0.05512703,1.0,2017-01-09 12:00:00,5.0,0.0,0.0,0.0,0.0
264.45386,1.0,0.0,0.64698213,1.0,2017-01-09 13:00:00,5.0,0.0,0.0,0.0,0.0
264.33472,1.0,0.0,0.9850642,1.0,2017-01-09 14:00:00,5.0,0.0,0.0,0.0,0.0
264.59375,1.0,0.02652017,1.0,1.0,2017-01-09 15:00:00,5.0,0.0,1.4556775e-07,0.0,0.0
264.86914,1.0,0.02485073,1.0,1.0,2017-01-09 16:00:00,5.0,7.4416284e-06,7.7418945e-06,0.0,7.4416284e-06
265.60278,0.991298,0.0,0.83138925,0.98185587,2017-01-09 17:00:00,5.0,4.4743327e-05,4.4809814e-05,0.0,4.4743327e-05
266.0652,1.0,0.0,1.0,0.978338,2017-01-09 18:00:00,5.0,0.0003767244,0.00037668133,0.00018433218,0.00019225867
