t2m,tcc,lcc,mcc,hcc,valid_time,ptype,tp,sf,cp,lsp
275.64478,0.9458845,0.34978533,0.22099632,0.92479956,2012-01-01 00:00:00,8.0,0.0,0.0,0.0,0.0
274.96802,0.9929288,0.78784513,0.82180613,0.9720848,2012-01-01 01:00:00,1.0,7.686819e-05,0.0,6.983035e-05,7.5332655e-06
275.0691,1.0,0.8828876,0.9819887,0.9743614,2012-01-01 02:00:00,1.0,9.9305194e-05,0.0,3.99094e-05,5.9567566e-05
273.99487,0.99946827,0.68909305,0.99629015,0.9544927,2012-01-01 03:00:00,7.0,0.00041083898,4.8706046e-05,0.00011782677,0.00029285974
274.0774,1.0,0.91455287,1.0,0.9931373,2012-01-01 04:00:00,6.0,0.0010724643,0.00080836145,0.00021900808,0.0008534086
274.0791,1.0,0.776457,1.0,1.0,2012-01-01 05:00:00,6.0,0.0016587824,0.0016059647,0.00011459917,0.0015445552
273.83325,1.0,1.0,1.0,1.0,2012-01-01 06:00:00,6.0,0.0011957705,0.0011903765,1.6234271e-06,0.0011941469
273.90405,1.0,0.9894588,1.0,1.0,2012-01-01 07:00:00,5.0,0.00017043675,0.0001702271,0.0,0.00017053225
272.98633,1.0,0.9978792,1.0,1.0,2012-01-01 08:00:00,5.0,1.7012251e-05,1.6910024e-05,4.7747868e-08,1.7069935e-05
271.7251,1.0,0.98807293,0.7330399,0.7576745,2012-01-01 09:00:00,5.0,1.5638161e-06,1.5685428e-06,0.0,1.5638161e-06
271.16187,0.98519826,0.9725936,0.069254994,0.39449775,2012-01-01 10:00:00,5.0,1.3542412e-06,1.234951e-06,0.0,1.3542412e-06
271.0791,0.9652774,0.9652774,0.0,0.0033782488,2012-01-01 11:00:00,5.0,3.33786e-06,3.4807827e-06,0.0,3.7192012e-06
270.90503,0.8621753,0.8621753,0.005003199,0.0,2012-01-01 12:00:00,5.0,8.924016e-06,8.978894e-06,0.0,8.924016e-06
270.77295,0.9487058,0.9487058,0.03682102,0.0,2012-01-01 13:00:00,5.0,1.1574813e-05,1.1491414e-05,0.0,1.1574813e-05
270.7329,0.9764891,0.9764891,0.26294255,0.0,2012-01-01 14:00:00,5.0,1.1898468e-05,1.1908001e-05,0.0,1.1898468e-05
270.6245,0.977901,0.97452277,0.21028,0.0,2012-01-01 15:00:00,5.0,1.1782454e-05,1.20449085e-05,0.0,1.2049716e-05
270.54956,0.91798484,0.91462374,0.12623364,0.0,2012-01-01 16:00:00,5.0,6.901295e-06,6.872774e-06,0.0,6.901295e-06
270.4795,0.9192806,0.9125412,0.16797698,0.0,2012-01-01 17:00:00,5.0,5.302253e-06,5.249859e-06,0.0,5.302253e-06
270.71533,0.9067228,0.90171957,0.34262133,0.0,2012-01-01 18:00:00,5.0,3.6160127e-05,3.6384125e-05,0.0,3.6636964e-05
270.63037,0.9503857,0.9503857,0.20171899,0.0,2012-01-01 19:00:00,5.0,3.4962257e-05,3.514324e-05,0.0,3.5076344e-05
270.38843,0.9913264,0.9913264,0.28223908,0.0,2012-01-01 20:00:00,5.0,1.3217475e-05,1.3289419e-05,0.0,1.3370656e-05
270.0249,0.98847103,0.98847103,0.17505509,0.0,2012-01-01 21:00:00,5.0,9.3636845e-06,9.358877e-06,0.0,9.3636845e-06
268.84692,0.9400024,0.9400024,0.07862854,0.0,2012-01-01 22:00:00,5.0,4.099892e-06,4.1620615e-06,0.0,4.099892e-06
268.4065,0.99214685,0.99214685,0.02031729,0.0,2012-01-01 23:00:00,5.0,1.2010587e-06,1.3252375e-06,0.0,1.3542412e-06
268.114,0.9899067,0.9899067,0.083428025,0.0,2012-01-02 00:00:00,5.0,2.7078404e-06,2.8602162e-06,0.0,3.0891824e-06
267.71704,0.8932676,0.8899064,0.028554436,0.0,2012-01-02 01:00:00,5.0,6.444976e-06,6.549926e-06,0.0,6.6167413e-06
267.37158,0.960837,0.960837,0.0,0.0,2012-01-02 02:00:00,5.0,4.0229797e-06,3.99446e-06,0.0,4.0229797e-06
266.36963,0.95430255,0.95430255,0.0,0.0,2012-01-02 03:00:00,5.0,3.7364925e-06,3.5841176e-06,0.0,3.7364925e-06
266.1416,0.9866318,0.9866318,0.0,0.0,2012-01-02 04:00:00,5.0,4.003755e-06,3.9561673e-06,0.0,4.003755e-06
266.0144,0.978272,0.978272,0.0,0.0,2012-01-02 05:00:00,5.0,6.064285e-06,5.7449524e-06,0.0,6.064285e-06
266.1101,0.97606176,0.97606176,0.0,0.0,2012-01-02 06:00:00,5.0,1.1690835e-05,1.1743229e-05,0.0,1.1690835e-05
266.27393,0.99164295,0.99164295,0.0,0.0,2012-01-02 07:00:00,5.0,1.0469899e-05,1.0612983e-05,0.0,1.0469899e-05
266.2273,0.91517043,0.91517043,0.0,0.0,2012-01-02 08:00:00,5.0,1.5543337e-05,1.5443351e-05,0.0,1.5543337e-05
266.07324,0.94169456,0.94169456,0.0,0.0,2012-01-02 09:00:00,5.0,1.8174906e-05,1.8265593e-05,0.0,1.8174906e-05
265.17578,0.91262263,0.91262263,0.0,0.0,2012-01-02 10:00:00,5.0,1.565805e-05,1.5905767e-05,0.0,1.6039397e-05
265.25024,0.8887559,0.8887559,0.0,0.0,2012-01-02 11:00:00,5.0,1.5448488e-05,1.5405865e-05,0.0,1.5448488e-05
265.13135,0.8799295,0.8799295,0.034038752,0.0,2012-01-02 12:00:00,5.0,1.5124832e-05,1.5210876e-05,0.0,1.5124832e-05
264.86255,0.99312896,0.99312896,0.053876135,0.0,2012-01-02 13:00:00,5.0,1.3580241e-05,1.3656832e-05,0.0,1.3466161e-05
264.23584,0.95285594,0.95285594,0.0,0.0,2012-01-02 14:00:00,5.0,5.8758687e-06,5.9997237e-06,0.0,5.7803727e-06
